Enet,False,False,False,False,0,4,91.58332644369605,88.528910751311,62.39577677213652,73.30947445110411
BoxOnlyENet,False,False,False,False,0,4,91.22324839203182,87.40494841973337,63.988441100425085,75.44583343806917
Enet,False,False,False,False,1,4,92.32923637699217,88.6252973539189,66.13941754726021,77.02814560826151
BoxOnlyENet,False,False,False,False,1,4,92.13553392006216,86.60282934327448,66.46645552614925,77.76495703939823
Enet,False,False,False,False,2,4,92.32374905526612,88.56254470425833,64.23386557371714,75.29568399740538
BoxOnlyENet,False,False,False,False,2,4,91.9739140041572,77.53090997748002,63.40007331993252,74.44308282554879
Enet,False,False,False,False,3,4,92.36055069297558,85.98250988406824,69.03858222976562,79.66310539371932
BoxOnlyENet,False,False,False,False,3,4,92.16498254665869,89.93116529747331,65.40293962319282,76.34993888632987
Enet,False,False,False,False,4,4,92.24795085115677,89.44244312628847,66.72217770442343,78.03674752645665
BoxOnlyENet,False,False,False,False,4,4,92.37258621862807,85.57378172190268,65.74389307510229,76.68569835671818
Enet,False,False,False,False,5,4,92.66769438105572,89.83909322417253,68.51871008224788,79.13356286560412
BoxOnlyENet,False,False,False,False,5,4,91.60077612678494,80.05335537607581,62.50365970621724,73.71231352968486
Enet,False,False,False,False,6,4,91.51360087563022,85.3867237941178,61.61870842696361,72.72877103357132
BoxOnlyENet,False,False,False,False,6,4,92.05205346553633,85.39360921263605,65.16087158151286,76.3789628064589
Enet,False,False,False,False,7,4,92.34299126345216,79.3527463130409,61.98814697036137,72.1596242290167
BoxOnlyENet,False,False,False,False,7,4,91.65173505454763,88.51635020871676,62.60349158407881,73.70364043935128
Enet,False,False,False,False,8,4,92.20917377762592,75.81640401496162,59.1155609800296,67.77597154353259
BoxOnlyENet,False,False,False,False,8,4,91.80384361279408,75.24544284530437,60.10537813018654,70.27460093145683
Enet,False,False,False,False,9,4,92.67702282799002,89.86343214514802,65.23992669191647,75.99849220526325
BoxOnlyENet,False,False,False,False,9,4,91.54824416679409,88.48706028325657,70.39654939002482,80.73740835234024
