Enet,False,False,False,False,0,4,91.58332644369605,88.528910751311,62.39577677213652,73.30947445110411
BoxEnet,False,False,False,False,0,4,91.63673637516307,82.82249325365012,59.85539238127296,69.25544685259732
Enet,False,False,False,False,1,4,92.32923637699217,88.6252973539189,66.13941754726021,77.02814560826151
BoxEnet,False,False,False,False,1,4,92.54119332419755,90.19870476640861,66.84845709291118,78.0360933882518
Enet,False,False,False,False,2,4,92.32374905526612,88.56254470425833,64.23386557371714,75.29568399740538
BoxEnet,False,False,False,False,2,4,92.77685550125952,76.54722894199793,61.618258594391826,70.66126642933284
Enet,False,False,False,False,3,4,92.36055069297558,85.98250988406824,69.03858222976562,79.66310539371932
BoxEnet,False,False,False,False,3,4,92.660524280667,89.72902963763299,71.9062933533698,81.67024479003366
Enet,False,False,False,False,4,4,92.24795085115677,89.44244312628847,66.72217770442343,78.03674752645665
BoxEnet,False,False,False,False,4,4,92.28003339218182,88.66021551162095,68.20184836040835,79.37777390929264
Enet,False,False,False,False,5,4,92.66769438105572,89.83909322417253,68.51871008224788,79.13356286560412
BoxEnet,False,False,False,False,5,4,91.69164617456853,72.79009115742463,57.85660123419133,66.35863627919178
Enet,False,False,False,False,6,4,91.51360087563022,85.3867237941178,61.61870842696361,72.72877103357132
BoxEnet,False,False,False,False,6,4,92.48427150682586,88.51127106431449,65.49142931724421,76.22474753556472
Enet,False,False,False,False,7,4,92.34299126345216,79.3527463130409,61.98814697036137,72.1596242290167
BoxEnet,False,False,False,False,7,4,92.74799218898043,75.86204563366518,61.065695276855145,70.30450806308869
Enet,False,False,False,False,8,4,92.20917377762592,75.81640401496162,59.1155609800296,67.77597154353259
BoxEnet,False,False,False,False,8,4,91.8595216372412,88.81723382447711,70.56440378278837,80.73765164729636
Enet,False,False,False,False,9,4,92.67702282799002,89.86343214514802,65.23992669191647,75.99849220526325
BoxEnet,False,False,False,False,9,4,92.50190410063894,88.47624756719806,62.71100383396872,72.687019451294
